Unique Key,Created Date,Closed Date,Agency Name,Complaint Type,Location Type,Incident Zip,Street Name,City,Status,Borough
21594400,10-06-2011 0:00,10-07-2011 0:00,Department of Consumer Affairs,Consumer Complaint,,10036,11 AVENUE,NEW YORK,Closed,MANHATTAN
21594404,10-06-2011 0:00,10-07-2011 0:00,Department of Transportation,Broken Muni Meter,Street,10022,EAST 52 STREET,NEW YORK,Closed,MANHATTAN
21594072,10-06-2011 0:00,10-09-2011 0:00,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10033,WEST 179 STREET,NEW YORK,Closed,MANHATTAN
21598531,10-07-2011 0:00,10-07-2011 0:00,3-1-1 Call Center,Noise Survey,Bar/Restaurant,10009,AVENUE C,NEW YORK,Closed,MANHATTAN
21598544,10-06-2011 0:00,10-06-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10029,LEXINGTON AVENUE,NEW YORK,Closed,MANHATTAN
21598435,10-06-2011 0:00,10-07-2011 0:00,New York City Police Department,Bike/Roller/Skate Chronic,Street/Sidewalk,10026,WEST 110 STREET,NEW YORK,Closed,MANHATTAN
21598288,10-06-2011 0:00,10-07-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10024,WEST 88 STREET,NEW YORK,Closed,MANHATTAN
21598289,10-06-2011 0:00,10-07-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10027,WEST 125 STREET,NEW YORK,Closed,MANHATTAN
21598325,10-06-2011 0:00,10-09-2011 0:00,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10029,EAST 112 STREET,NEW YORK,Closed,MANHATTAN
21597833,10-06-2011 0:00,10-08-2011 0:00,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10023,COLUMBUS AVENUE,NEW YORK,Closed,MANHATTAN
21598262,10-06-2011 0:00,10-09-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10025,CATHEDRAL PARKWAY,NEW YORK,Closed,MANHATTAN
21597284,10-06-2011 0:00,10-12-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10002,HENRY STREET,NEW YORK,Closed,MANHATTAN
21597288,10-07-2011 0:00,10-07-2011 0:00,3-1-1 Call Center,Noise Survey,Home,10032,WEST 170 STREET,NEW YORK,Closed,MANHATTAN
21597491,10-06-2011 0:00,10-06-2011 0:00,3-1-1 Call Center,Noise Survey,Bar/Restaurant,10014,WEST 4 STREET,NEW YORK,Closed,MANHATTAN
21595591,10-06-2011 0:00,10-12-2011 0:00,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10128,1 AVENUE,NEW YORK,Closed,MANHATTAN
21595638,10-06-2011 0:00,10-07-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10040,ARDEN STREET,NEW YORK,Closed,MANHATTAN
21595471,10-07-2011 0:00,10-07-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10009,1 AVENUE,NEW YORK,Closed,MANHATTAN
21595483,10-06-2011 0:00,10-06-2011 0:00,3-1-1 Call Center,Noise Survey,Home,10030,WEST 135 STREET,NEW YORK,Closed,MANHATTAN
21593854,10-06-2011 0:00,10-11-2011 0:00,Department of Environmental Protection,Sewer,,10001,WEST 28 STREET,NEW YORK,Closed,MANHATTAN
21599091,10-06-2011 0:00,10-09-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10031,WEST 145 STREET,NEW YORK,Closed,MANHATTAN
21599339,10-06-2011 0:00,10-09-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10033,ST NICHOLAS AVENUE,NEW YORK,Closed,MANHATTAN
21599341,10-06-2011 0:00,10-12-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10075,EAST 79 STREET,NEW YORK,Closed,MANHATTAN
21599344,10-06-2011 0:00,10-07-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10014,PERRY STREET,NEW YORK,Closed,MANHATTAN
21598952,10-06-2011 0:00,10-08-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10029,EAST 116 STREET,NEW YORK,Closed,MANHATTAN
21599116,10-06-2011 0:00,10-09-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10033,WEST 183 STREET,NEW YORK,Closed,MANHATTAN
21599120,10-06-2011 0:00,10-06-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10003,3 AVENUE,NEW YORK,Closed,MANHATTAN
21599259,10-06-2011 0:00,10-06-2011 0:00,3-1-1 Call Center,Noise Survey,Home,10002,ATTORNEY STREET,NEW YORK,Closed,MANHATTAN
21599273,10-07-2011 0:00,10-07-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10016,EAST 34 STREET,NEW YORK,Closed,MANHATTAN
21599274,10-06-2011 0:00,10-06-2011 0:00,New York City Police Department,Noise - Vehicle,Street/Sidewalk,10025,WEST 105 STREET,NEW YORK,Closed,MANHATTAN
21599429,10-06-2011 0:00,10-11-2011 0:00,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,Street Address,10036,WEST 45 STREET,NEW YORK,Closed,MANHATTAN
21596669,10-06-2011 0:00,10-08-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10025,WEST 96 STREET,NEW YORK,Closed,MANHATTAN
21596951,10-06-2011 0:00,10-12-2011 0:00,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10128,1 AVENUE,NEW YORK,Closed,MANHATTAN
21604440,10-07-2011 0:00,10-07-2011 0:00,New York City Police Department,Illegal Parking,Street/Sidewalk,10128,MADISON AVENUE,NEW YORK,Closed,MANHATTAN
21604441,10-07-2011 0:00,10-08-2011 0:00,BCC - Manhattan,Sanitation Condition,Street,10009,EAST 4 STREET,NEW YORK,Closed,MANHATTAN
21604697,10-07-2011 0:00,10-07-2011 0:00,New York City Police Department,Blocked Driveway,Street/Sidewalk,10023,WEST END AVENUE,NEW YORK,Closed,MANHATTAN
21604709,10-07-2011 0:00,10-07-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10025,COLUMBUS AVENUE,NEW YORK,Closed,MANHATTAN
21604711,10-07-2011 0:00,10-07-2011 0:00,New York City Police Department,Noise - House of Worship,House of Worship,10025,WEST 96 STREET,NEW YORK,Closed,MANHATTAN
21601481,10-07-2011 0:00,10-11-2011 0:00,Department of Environmental Protection,Sewer,,10024,WEST 84 STREET,NEW YORK,Closed,MANHATTAN
21601604,10-07-2011 0:00,10-11-2011 0:00,Department of Environmental Protection,Lead,,10033,WADSWORTH AVENUE,NEW YORK,Closed,MANHATTAN
21601706,10-07-2011 0:00,10-12-2011 0:00,Department of Transportation,Street Condition,,10036,9 AVENUE,NEW YORK,Closed,MANHATTAN
21601490,10-07-2011 0:00,10-07-2011 0:00,Department of Environmental Protection,Noise,,10002,EAST BROADWAY,NEW YORK,Closed,MANHATTAN
21602277,10-07-2011 0:00,10/13/2011 12:00 AM,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10033,ST NICHOLAS AVENUE,NEW YORK,Closed,MANHATTAN
21602164,10-07-2011 0:00,10-07-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10018,BROADWAY,NEW YORK,Closed,MANHATTAN
21602422,10-07-2011 0:00,10-11-2011 0:00,Department of Environmental Protection,Lead,,10033,ST NICHOLAS AVENUE,NEW YORK,Closed,MANHATTAN
21595072,10-06-2011 0:00,10-12-2011 0:00,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10027,FREDERICK DOUGLASS BOULEVARD,NEW YORK,Closed,MANHATTAN
21602666,10-07-2011 0:00,10-07-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10024,WEST 86 STREET,NEW YORK,Closed,MANHATTAN
